9612980047,[-0.5994],[5],"[[suppose, problem]]","[[suppose problem, -0.5994, 5]]"
9866409406,[0.3612],[4],[[design]],"[[design, 0.3612, 4]]"
B000IN5ZHM,"[0.0, 0.0]","[4, 5]","[[thick], [way, get, cellphone, go, battery, installation, simple]]","[[thick, 0.0, 4], [way get cellphone go battery installation simple, 0.0, 5]]"
B000KGLL84,[0.9578],[5],"[[hook, work, include, xm, plug, n, play, dont, know, wait, get, give, get, signal, fade, enjoy, xm, radio]]","[[hook work include xm plug n play dont know wait get give get signal fade enjoy xm radio, 0.9578, 5]]"
B000SCGYKK,[0.0],[5],[[gracias]],"[[gracias, 0.0, 5]]"
B000U89KGW,[0.8689],[5],"[[reminds, stuff, f, fighter, jet, detector, market, read, pick, signal, scanner]]","[[reminds stuff f fighter jet detector market read pick signal scanner, 0.8689, 5]]"
B000WKS8QG,"[0.128, -0.5994]","[5, 5]","[[job, suppose, complaint, use, year], [take, care, phone, case, problem]]","[[job suppose complaint use year, 0.128, 5], [take care phone case problem, -0.5994, 5]]"
B001E3Y530,[0.5719],[5],[[happy]],"[[happy, 0.5719, 5]]"
B001WAACYG,[-0.4215],[1],"[[look, battery, doesnt, hold, charge, take, call, phone, waste, time, money]]","[[look battery doesnt hold charge take call phone waste time money, -0.4215, 1]]"
B002S0O7LI,[0.25],[2],"[[armband, less, month, seam, split, apart, whole, way, ipod, fell, cut, grass, manufacturer, feedback, replacement]]","[[armband less month seam split apart whole way ipod fell cut grass manufacturer feedback replacement, 0.25, 2]]"
B002U3BMS4,[0.296],[3],"[[sound, voice, coil, burn, couple, day, use, mcintosh, mc, amp, clip, issue]]","[[sound voice coil burn couple day use mcintosh mc amp clip issue, 0.296, 3]]"
B0039YP2B6,[0.7824],[4],"[[heard, well, center, control, volume, button, use, time, well, others]]","[[heard well center control volume button use time well others, 0.7824, 4]]"
B0041Y5DDA,[0.8402],[5],"[[protects, phone]]","[[protects phone, 0.8402, 5]]"
B004C2C1UO,[0.5873],[2],"[[buy, mount, bracket, escort, passport, ix, doesnt, slide, time, put, take, radar, detector, give, bracket, look, paint, use, bracket, oem, replacement, mount, manage, use, least, hasnt, fallen, windshield, press, suction, cup, loose, suction]]","[[buy mount bracket escort passport ix doesnt slide time put take radar detector give bracket look paint use bracket oem replacement mount manage use least hasnt fallen windshield press suction cup loose suction, 0.5873, 2]]"
B004GGAITW,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B004RNC5KE,[-0.2755],[2],"[[daughter, case, phone, get, snug, fitreturned]]","[[daughter case phone get snug fitreturned, -0.2755, 2]]"
