B000A5T7AO,[0.2732],[5],[[work]],"[[work, 0.2732, 5]]"
B000E479JC,[0.7845],[5],"[[quality, amaze, sound, sub, people, think, somewhere]]","[[quality amaze sound sub people think somewhere, 0.7845, 5]]"
B000X0VWU4,[0.6705],[4],"[[protects, ipod, fit]]","[[protects ipod fit, 0.6705, 4]]"
B001T8I3RY,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B002E9GUCC,[0.7906],[5],"[[product, thanks]]","[[product thanks, 0.7906, 5]]"
B002ICN1GS,"[0.6369, 0.4927, 0.8555, 0.4215]","[4, 5, 5, 4]","[[nice, case, money], [case, favorite, make, protects, ipod, work, yard, travel, glad, get, cover], [case, look]]","[[nice case money, 0.6369, 4], [case favorite make protects ipod work yard travel glad get cover, 0.4927, 5], [case look, 0.8555, 5], [, 0.4215, 4]]"
B0030T0UQ2,[0.4201],[5],[[satisfactory]],"[[satisfactory, 0.4201, 5]]"
B0046D347I,[0.0],[5],"[[use, time, need, replace, stock, everyone, get]]","[[use time need replace stock everyone get, 0.0, 5]]"
B0049MWUMQ,[0.0],[3],"[[didnt, work]]","[[didnt work, 0.0, 3]]"
B004N4DDBC,[0.0],[3],[[expect]],"[[expect, 0.0, 3]]"
B005SUNPPE,[0.2023],[3],"[[work, fine, texting, phone, call]]","[[work fine texting phone call, 0.2023, 3]]"
B0071VMOC8,[0.8126],[5],"[[awesome, push]]","[[awesome push, 0.8126, 5]]"
B00754LELI,"[0.6249, 0.0]","[5, 5]",[[describe]],"[[describe, 0.6249, 5], [, 0.0, 5]]"
B007FWDER2,"[0.0, -0.6045]","[1, 1]","[[caller, hear, use, motorola, elite, flip, ive, elite, flip, didnt, problem], [get]]","[[caller hear use motorola elite flip ive elite flip didnt problem, 0.0, 1], [get, -0.6045, 1]]"
B007VM9E48,[0.9172],[4],"[[nice, headphone, lot, stay, head, forget, battery, life, awesome, charge, day, run, battery, use, hr, day, reason, give, star, control, button, center, fine, control, button, arrange, circle, otherbr, owner, operation, draw, diagram, carry, walk, put, piece, thick, tape, volume, button, help, headphone]]","[[nice headphone lot stay head forget battery life awesome charge day run battery use hr day reason give star control button center fine control button arrange circle otherbr owner operation draw diagram carry walk put piece thick tape volume button help headphone, 0.9172, 4]]"
B007WX0NMS,"[0.0, 0.2732, 0.6249]","[5, 5, 5]","[[work], [requires, hex, bit, driver, tighten, loosen, wire, work, need], [work, great, money]]","[[work, 0.0, 5], [requires hex bit driver tighten loosen wire work need, 0.2732, 5], [work great money, 0.6249, 5]]"
B008BK738S,[0.7501],[5],"[[love, fit]]","[[love fit, 0.7501, 5]]"
B008DJIKHU,"[0.765, -0.6879, 0.802, 0.743, 0.7044, 0.1531, 0.7239, 0.969, 0.6901, 0.0]","[5, 3, 4, 5, 4, 4, 5, 5, 4, 5]","[[case, thank], [please, case, recommend], [make, fit], [im, bit, disappoint, price, quality, expect, surprise, come, screen, protector, complaint, hole, charger, isnt, cut, keep, connect, wouldnt, buy], [work], [purchase, product, twice, time, order, fill, deliver, case, describedit, sturdy, easy, pop, phone, simple, design], [case, amount, lip, protection, feel, come, someone, use, phone, case, thats, issue, case, black, appear, glossy, condition, phone, feel, bit, moist, slippery, issue, job, star], [work, great, thin, withstood, drop, twice, put, minor, thing, snug, seem, start, come, put, pocket, day, galaxy], [case, deliver], [get, caseology, case, wait, review, want, see, case, perform, timebr, get, case, impress, phonebr, feel, material, hand, br, case, doesnt, stretch, stay, shiny, beauty, keep, cleanbr, br, recommend, casebr, job, caseology]]","[[case thank, 0.765, 5], [please case recommend, -0.6879, 3], [make fit, 0.802, 4], [im bit disappoint price quality expect surprise come screen protector complaint hole charger isnt cut keep connect wouldnt buy, 0.743, 5], [work, 0.7044, 4], [purchase product twice time order fill deliver case describedit sturdy easy pop phone simple design, 0.1531, 4], [case amount lip protection feel come someone use phone case thats issue case black appear glossy condition phone feel bit moist slippery issue job star, 0.7239, 5], [work great thin withstood drop twice put minor thing snug seem start come put pocket day galaxy, 0.969, 5], [case deliver, 0.6901, 4], [get caseology case wait review want see case perform timebr get case impress phonebr feel material hand br case doesnt stretch stay shiny beauty keep cleanbr br recommend casebr job caseology, 0.0, 5]]"
B008H0U0I2,[0.8266],[5],"[[get, phone, case, kickstand, purchase, couple, need, stand, perfect, course, purple, ]]","[[get phone case kickstand purchase couple need stand perfect course purple , 0.8266, 5]]"
B008I5R390,[0.3818],[5],[[ty]],"[[ty, 0.3818, 5]]"
B008U6LFEG,[0.765],[5],"[[looking, product, business, thank]]","[[looking product business thank, 0.765, 5]]"
B0095EN9YQ,[-0.0644],[3],"[[look, great, case, make, cell, service, bar, case]]","[[look great case make cell service bar case, -0.0644, 3]]"
B0096MLDS6,[0.807],[5],[[charger]],"[[charger, 0.807, 5]]"
B00974KXHU,[0.0],[5],"[[month, charger, work, car, use, day]]","[[month charger work car use day, 0.0, 5]]"
B00974L62G,"[0.5719, 0.0, 0.0]","[5, 5, 5]","[[], [fit, phone, cheaper, verizon, store, want, pay, thing], [cheap, decent, case]]","[[, 0.5719, 5], [fit phone cheaper verizon store want pay thing, 0.0, 5], [cheap decent case, 0.0, 5]]"
