1908510986,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B0002EXJJ8,[0.4404],[4],[[product]],"[[product, 0.4404, 4]]"
B001JM1L5Q,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B002ACFWB8,[0.0],[5],[[work]],"[[work, 0.0, 5]]"
B003TZGYKI,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B0042U9AT6,"[0.6369, 0.2732]","[5, 5]","[[seems, work, child, homework]]","[[seems work child homework, 0.6369, 5], [, 0.2732, 5]]"
B0046HHMBS,[0.9022],[5],"[[fit, great, look, well, person]]","[[fit great look well person, 0.9022, 5]]"
B005K7JLBM,[0.6249],[1],[[product]],"[[product, 0.6249, 1]]"
B006J4FZTW,[0.9349],[5],"[[arrive, shape, board, work, library, dont, forget, make, baud, rate, select, serial, monitor, correct, understand, define, ip, settingsbr, select, board, cheapies, malfunction, return, day, frustration, save, time, effort, spend, bit, choice, get, connectivity, project, tip, shield, pin, arrive, alignment, flip, arduino, use, cluster, female, connector, align, shield, pin, group, flip, shield, try, ease, pin, arduino, connector]]","[[arrive shape board work library dont forget make baud rate select serial monitor correct understand define ip settingsbr select board cheapies malfunction return day frustration save time effort spend bit choice get connectivity project tip shield pin arrive alignment flip arduino use cluster female connector align shield pin group flip shield try ease pin arduino connector, 0.9349, 5]]"
B006X387ZS,"[0.0, 0.6249, -0.3626, 0.0772]","[5, 4, 5, 5]","[[work, mount, motorcycle, handlebar, complaint], [work, great], [want], [thing, motorcycle]]","[[work mount motorcycle handlebar complaint, 0.0, 5], [work great, 0.6249, 4], [want, -0.3626, 5], [thing motorcycle, 0.0772, 5]]"
B007NFI656,"[0.9304, 0.0129, 0.4215, 0.2732]","[5, 3, 3, 5]","[[work], [clip, cellphone, wont, difficulty, finding, easy, manipulate, grip, case, carry, seem], [sorta, jinky, price, ok], [quality, mine, piece, keep, fall, stretch]]","[[work, 0.9304, 5], [clip cellphone wont difficulty finding easy manipulate grip case carry seem, 0.0129, 3], [sorta jinky price ok, 0.4215, 3], [quality mine piece keep fall stretch, 0.2732, 5]]"
B007P4Y12M,[0.872],[5],"[[level, system, work, level, x, square, stone, tile, recommend, thinker, mortar, bed, room, selflevel, use, notch, try, keep, wet, edge, tile, wont, level, tile, set, wet, squeeze, tighten, tool, hold, result, squeeze, strap, trowel, tile]]","[[level system work level x square stone tile recommend thinker mortar bed room selflevel use notch try keep wet edge tile wont level tile set wet squeeze tighten tool hold result squeeze strap trowel tile, 0.872, 5]]"
B007T2PDN6,[-0.2874],[2],"[[get, pay, wish, spent, extra, money, quality]]","[[get pay wish spent extra money quality, -0.2874, 2]]"
B0084CCN2Y,"[-0.4767, 0.8519]","[1, 5]","[[product, recommend], [poor, quality]]","[[product recommend, -0.4767, 1], [poor quality, 0.8519, 5]]"
B008KEPUQC,[0.765],[5],"[[buy, boyfriend, went, love, feature, youre, hike]]","[[buy boyfriend went love feature youre hike, 0.765, 5]]"
B008OJ8H36,[0.8381],[4],"[[case, quality, last, drop, time, drop, phone, crack, didnt, work, need, work, perfect]]","[[case quality last drop time drop phone crack didnt work need work perfect, 0.8381, 4]]"
B00974L2PC,"[0.8481, 0.4927, 0.6249, 0.0]","[5, 4, 5, 1]","[[describe, order, iphone, case, got, iphone], [awesome, great, deal]]","[[describe order iphone case got iphone, 0.8481, 5], [awesome great deal, 0.4927, 4], [, 0.6249, 5], [, 0.0, 1]]"
B009WTXB5G,[0.3612],[4],"[[come, time]]","[[come time, 0.3612, 4]]"
B009ZKR52C,[-0.5777],[2],"[[buy, product, seller, fizzle, returning, material, weak, case]]","[[buy product seller fizzle returning material weak case, -0.5777, 2]]"
B00A6UPWNY,[0.7496],[5],"[[make, product]]","[[make product, 0.7496, 5]]"
B00AJR2UJ8,[0.3612],[5],[[appears]],"[[appears, 0.3612, 5]]"
B00B20M8S4,"[0.707, 0.0772]","[1, 1]","[[garmin, didnt, give, quality, product, own, year, use, anymore, own, training, collar, work, year, dogdog, train, bought, vizslalab, mix, puppymonths, open, seem, decent, material, garmin, know, operation, set, mode, function, need, carry, study, detail, remember, mode, model, own, use, functionsmode, label, transmitter, make, bark, mode, doesnt, work, bark, collar, adjustment, doesnt, sense, dog, bark, lot, time, make, useless, purpose, mention, others, life, slow, charge, transmitter, receiver, need, plan, use, night, recharge, unit, forget, charge, go, replace, battery, field, unit, time, field, take, dog, mountain, dog, jump, water, dog, problem, unit, work, go, deeper, garmin, say, handle, hand, transmitter, receiver, dog, wear, sure, need, improvement, water, resistance, call, garmin, good, send, warranty, cant, let, dog, go, water, live, nd, driest, state, stream, river, pond, lakes, take, dog, make, product, look, brand, garmin, disappointment, glad, buy, aftermarket, extend, warranty, market, im, sure, go, need], [unit, april, month, time, collar, battery, last, day, charge, dailybr, recommend, pass, unit, buy, train, dog, keep, yard, hell, need, extension, cord, thats, longersad]]","[[garmin didnt give quality product own year use anymore own training collar work year dogdog train bought vizslalab mix puppymonths open seem decent material garmin know operation set mode function need carry study detail remember mode model own use functionsmode label transmitter make bark mode doesnt work bark collar adjustment doesnt sense dog bark lot time make useless purpose mention others life slow charge transmitter receiver need plan use night recharge unit forget charge go replace battery field unit time field take dog mountain dog jump water dog problem unit work go deeper garmin say handle hand transmitter receiver dog wear sure need improvement water resistance call garmin good send warranty cant let dog go water live nd driest state stream river pond lakes take dog make product look brand garmin disappointment glad buy aftermarket extend warranty market im sure go need, 0.707, 1], [unit april month time collar battery last day charge dailybr recommend pass unit buy train dog keep yard hell need extension cord thats longersad, 0.0772, 1]]"
B00BLQA9BM,[0.5994],[5],"[[need, install, super, pricing]]","[[need install super pricing, 0.5994, 5]]"
B00BOEOHKK,"[0.4404, 0.0, 0.0]","[5, 1, 2]","[[heat, phone, couldnt, pick], [everyone, dont, get, product, doesnt, work, time, put, bulk, heat, phone]]","[[heat phone couldnt pick, 0.4404, 5], [everyone dont get product doesnt work time put bulk heat phone, 0.0, 1], [, 0.0, 2]]"
B00BUBEJCS,[0.0],[2],[[look]],"[[look, 0.0, 2]]"
B00C2HQWYW,[0.0],[5],[[excelent]],"[[excelent, 0.0, 5]]"
B00C694JGE,[0.8883],[5],"[[put, case, fit, ipod, gen, glove, simple, clip, work, surface, case, give, something, grip, isnt, slippery, touch, part, drop, absorb, shock, dent, ipod, case, money]]","[[put case fit ipod gen glove simple clip work surface case give something grip isnt slippery touch part drop absorb shock dent ipod case money, 0.8883, 5]]"
B00C967AUG,"[-0.1027, -0.5367]","[1, 2]","[[last, couple, monthsbut, price, cant], [didnt, work, expect, figure, charge, usage]]","[[last couple monthsbut price cant, -0.1027, 1], [didnt work expect figure charge usage, -0.5367, 2]]"
B00CC4QLKU,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00CLBFT3Y,[-0.2755],[1],"[[didnt, fit]]","[[didnt fit, -0.2755, 1]]"
B00CNMDYZQ,[0.5859],[4],[[hand]],"[[hand, 0.5859, 4]]"
B00CPACP24,[0.296],[4],[[ok]],"[[ok, 0.296, 4]]"
B00CRASMWY,[0.9524],[5],"[[yes, know, time, antiquate, c, phone, lucky, cover, mood, strike, switch, cover, cherry, blossom]]","[[yes know time antiquate c phone lucky cover mood strike switch cover cherry blossom, 0.9524, 5]]"
B00CXZIAHA,[-0.4939],[1],"[[product, stop, charge, battery, faulty, month, use]]","[[product stop charge battery faulty month use, -0.4939, 1]]"
B00D7XNQHG,"[0.3612, 0.0, 0.765, 0.0, 0.3832]","[5, 5, 5, 3, 4]","[[describe, spend, money, something, bend], [stuff, say, excellent, price], [ez, use], [expect], [met, need, use, tool, need, quality, fine, expect, use]]","[[describe spend money something bend, 0.3612, 5], [stuff say excellent price, 0.0, 5], [ez use, 0.765, 5], [expect, 0.0, 3], [met need use tool need quality fine expect use, 0.3832, 4]]"
B00DNKOO7E,"[-0.3197, 0.6249]","[4, 5]","[[ship, product, great], [tuff, stand, abuse]]","[[ship product great, -0.3197, 4], [tuff stand abuse, 0.6249, 5]]"
B00DWFHH56,[0.8685],[5],"[[get, yesterday, fit, phone, describe, love, buy]]","[[get yesterday fit phone describe love buy, 0.8685, 5]]"
B00E4WZZQY,[0.0],[1],"[[wasnt, correct, cover, phone]]","[[wasnt correct cover phone, 0.0, 1]]"
B00EMY2968,"[0.0, 0.0]","[1, 4]","[[last, year, outlast, wife, case]]","[[last year outlast wife case, 0.0, 1], [, 0.0, 4]]"
B00EXMM1HG,"[0.8934, 0.2579]","[5, 1]","[[clip, stretch, cause, fall, garmin, try, reattach, clip, fall, hassle, time, want, use, gps], [product, great, price, deliverd, promise]]","[[clip stretch cause fall garmin try reattach clip fall hassle time want use gps, 0.8934, 5], [product great price deliverd promise, 0.2579, 1]]"
