9791171467,[0.0],[1],"[[charger, garbage, receive, charge, tablet, allnothing, sent, replacement, chargeat, junk]]","[[charger garbage receive charge tablet allnothing sent replacement chargeat junk, 0.0, 1]]"
B0002BA57A,[0.0],[5],"[[duty, quality]]","[[duty quality, 0.0, 5]]"
B000BP7L4C,[0.7717],[5],"[[grandson, ball, know, buy, remote, control, thank, marsha]]","[[grandson ball know buy remote control thank marsha, 0.7717, 5]]"
B000MPRJIO,"[0.4215, 0.0]","[5, 5]","[[c], [mount, troll, motor, crystal, clear, display, fish, finder, distortion, troll, motor]]","[[c, 0.4215, 5], [mount troll motor crystal clear display fish finder distortion troll motor, 0.0, 5]]"
B000O8SQNG,[0.6115],[5],"[[happy, order, item, purchase]]","[[happy order item purchase, 0.6115, 5]]"
B001582RZM,"[-0.6249, -0.5428]","[1, 1]","[[po, buy, life, wait, install, couldnt, return, remote, doesnt, work, eject, button, broke, day, player, skip, bump, sent, aka, pile, pay, dollar, ship, got, issue, week, time, sledge, hammer, loss], [cheap, unit, speaker, unit, max, volume, recommend, product]]","[[po buy life wait install couldnt return remote doesnt work eject button broke day player skip bump sent aka pile pay dollar ship got issue week time sledge hammer loss, -0.6249, 1], [cheap unit speaker unit max volume recommend product, -0.5428, 1]]"
B001GX6MJ8,[-0.2851],[3],"[[order, sure, please, hollow, sound, use, phone, listener, say]]","[[order sure please hollow sound use phone listener say, -0.2851, 3]]"
B001TDKJUI,[0.7346],[4],"[[use, trailblazer, make, swap, speaker, fast, process, im, glad, get, splice, wire, side, year]]","[[use trailblazer make swap speaker fast process im glad get splice wire side year, 0.7346, 4]]"
B002XT355S,"[0.7935, 0.6249]","[3, 5]","[[price, work, iphone], [install, gasket, glass, backing, want, pop, price, perfect]]","[[price work iphone, 0.7935, 3], [install gasket glass backing want pop price perfect, 0.6249, 5]]"
B003H3L3U8,"[0.4404, 0.6369]","[5, 5]","[[dont, know, brand]]","[[dont know brand, 0.4404, 5], [, 0.6369, 5]]"
B003KN2TGW,[0.6249],[5],"[[awesome, product, fast, arrival]]","[[awesome product fast arrival, 0.6249, 5]]"
B003YM1I70,[0.4215],[5],"[[nice, case]]","[[nice case, 0.4215, 5]]"
B003ZA86CQ,"[0.7548, 0.0]","[4, 5]","[[nice], [suppose]]","[[nice, 0.7548, 4], [suppose, 0.0, 5]]"
B0041EWVRG,[0.6115],[5],"[[happy, purchase]]","[[happy purchase, 0.6115, 5]]"
B0043H2EFK,[-0.2755],[2],"[[look, felt, didnt, phone, use, day, order, cover]]","[[look felt didnt phone use day order cover, -0.2755, 2]]"
