B00029X1O6,"[0.8248, 0.0, 0.049, 0.5719, 0.4404]","[5, 5, 1, 5, 5]","[[install], [cowboy, part, install, cake, kit, work, come, cut, side, cuttersdont, think, part, job, take, time, way, cubby, pod, ], [fit, perfect, slot, iphone], [didnt, jeep, cherokee, make, research, thing, buy], [ton, mount, option, cd, smartphone, holder, come, handy]]","[[install, 0.8248, 5], [cowboy part install cake kit work come cut side cuttersdont think part job take time way cubby pod , 0.0, 5], [fit perfect slot iphone, 0.049, 1], [didnt jeep cherokee make research thing buy, 0.5719, 5], [ton mount option cd smartphone holder come handy, 0.4404, 5]]"
B0007KPRJ2,[0.9313],[5],"[[kit, buy, metra, schoche, kit, metra, kit, better, plastic, scosche, kit, fit, well, allow, head, unit, come, satisfactory, price]]","[[kit buy metra schoche kit metra kit better plastic scosche kit fit well allow head unit come satisfactory price, 0.9313, 5]]"
B0013D210U,[0.765],[5],"[[buy, boat, rock, recommend, anyone, week, sound]]","[[buy boat rock recommend anyone week sound, 0.765, 5]]"
B00164H2KA,[0.6249],[5],"[[addition, standard]]","[[addition standard, 0.6249, 5]]"
B001DTZ25A,[0.4404],[5],"[[wilson, product]]","[[wilson product, 0.4404, 5]]"
B0025UH06U,[0.1901],[5],"[[suppose, say, doesnt, include, hardware, didnt, need, case]]","[[suppose say doesnt include hardware didnt need case, 0.1901, 5]]"
B002LF2LH2,[0.3384],[5],[[work]],"[[work, 0.3384, 5]]"
B003YCW00E,[0.4927],[5],"[[im, student, pilot]]","[[im student pilot, 0.4927, 5]]"
B004CR906M,[0.4215],[3],[[nice]],"[[nice, 0.4215, 3]]"
B004PGE3S0,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B0058AFRZA,"[0.0, 0.6249, 0.6249, 0.8955, -0.1419, 0.3612, 0.8074]","[4, 5, 5, 5, 4, 2, 5]","[[product, work, say, zero, complaint, seem, make, money, price], [doesnt, fit, headrest, fit, center, headrest, suv, face, towards, year, backwards, towards, rd, row, seat], [work, player, buy, sits, snug, headrest, ride, velcro, close, top, make, take, dvd, player, need, put, please, headrest], [fit, great], [work, suppose], [fix, great], [ford, expedition, fit, headrest, send]]","[[product work say zero complaint seem make money price, 0.0, 4], [doesnt fit headrest fit center headrest suv face towards year backwards towards rd row seat, 0.6249, 5], [work player buy sits snug headrest ride velcro close top make take dvd player need put please headrest, 0.6249, 5], [fit great, 0.8955, 5], [work suppose, -0.1419, 4], [fix great, 0.3612, 2], [ford expedition fit headrest send, 0.8074, 5]]"
B005G81J5Q,"[0.0, 0.0]","[5, 1]","[[doesnt, work, audi, ], [say, work, usb, drive]]","[[doesnt work audi , 0.0, 5], [say work usb drive, 0.0, 1]]"
B005GFM4SU,[-0.296],[2],"[[everything, kit, fell, apart, use]]","[[everything kit fell apart use, -0.296, 2]]"
B006PGZZ12,[0.0],[4],"[[use, make, walmart, hisense, tablet, wireless, charge]]","[[use make walmart hisense tablet wireless charge, 0.0, 4]]"
B007JF933O,[-0.2755],[1],"[[fit, blackberry]]","[[fit blackberry, -0.2755, 1]]"
B007UYKG4E,[0.0],[5],[[excelente]],"[[excelente, 0.0, 5]]"
B008DJIGR4,[0.807],[4],"[[buy, protect, phone]]","[[buy protect phone, 0.807, 4]]"
B008GYZSEA,[0.7003],[5],[[like]],"[[like, 0.7003, 5]]"
B008XV98YM,[0.7906],[5],"[[screen, protector, easy]]","[[screen protector easy, 0.7906, 5]]"
B0093IHYSG,"[0.9024, 0.4215]","[5, 5]","[[nice, product, advertise, get, use, carry, wallet, carry], [credit, card, holder, color, wasnt, love, work, wallet, phone, case]]","[[nice product advertise get use carry wallet carry, 0.9024, 5], [credit card holder color wasnt love work wallet phone case, 0.4215, 5]]"
B00974L2O8,[0.34],[4],"[[gray, part, wear]]","[[gray part wear, 0.34, 4]]"
B009PQHD3M,"[0.9766, 0.9022, 0.9732, 0.8211]","[5, 5, 5, 5]","[[look, functionality, great, price, fit, pocket, come, buy, color], [buy, need, time, find, perfect, soft, leather, fit, card, slot, open, card, slot, use, card, cash, hold, iphone, protect, buy, like, need, happy], [think, purchase, case, fact, seem, quality, material, stitch, nice, quality, consistent, card, cash, etc, problem, camera, hole, line, o, let, concern, magnet, closure, strap, thread, seem, secure, card, cause], [nice, love]]","[[look functionality great price fit pocket come buy color, 0.9766, 5], [buy need time find perfect soft leather fit card slot open card slot use card cash hold iphone protect buy like need happy, 0.9022, 5], [think purchase case fact seem quality material stitch nice quality consistent card cash etc problem camera hole line o let concern magnet closure strap thread seem secure card cause, 0.9732, 5], [nice love, 0.8211, 5]]"
