B0006HP7NC,[0.6249],[4],"[[battery, price]]","[[battery price, 0.6249, 4]]"
B000K8IZCM,"[-0.1531, 0.0]","[1, 1]","[[ga, wire, liarim, rapper, stuff, belongs, crapper], [rip, say, ga, state, guess, ga, read, review, purchase]]","[[ga wire liarim rapper stuff belongs crapper, -0.1531, 1], [rip say ga state guess ga read review purchase, 0.0, 1]]"
B000SA4DK0,[0.7506],[1],"[[piece, crap, get, tune, well, ground, vehicle, save, money, buy, mag, mount, nmo, mount, meter, antenna]]","[[piece crap get tune well ground vehicle save money buy mag mount nmo mount meter antenna, 0.7506, 1]]"
B000UR6DB8,[0.0],[4],"[[seems, bite, power, amp]]","[[seems bite power amp, 0.0, 4]]"
B001AO2T18,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B001V8WIPA,[0.4404],[5],"[[toy, right, size, phone, get, lot, good, comment, tiny, toy]]","[[toy right size phone get lot good comment tiny toy, 0.4404, 5]]"
B002ODWTBO,[0.6249],[5],[[buy]],"[[buy, 0.6249, 5]]"
B003NGZQ6G,[0.3716],[3],"[[case, look, stay]]","[[case look stay, 0.3716, 3]]"
B003XDU8OO,[0.6249],[4],[[price]],"[[price, 0.6249, 4]]"
B003YHOXFY,"[0.5719, 0.5719]","[5, 5]","[[excellent, product], [excellent]]","[[excellent product, 0.5719, 5], [excellent, 0.5719, 5]]"
B00410W2G0,[0.4703],[5],"[[find, brand, style, case, nice, look]]","[[find brand style case nice look, 0.4703, 5]]"
B0042UGZHQ,"[0.872, 0.7615]","[4, 5]","[[buy, son, phone, suggest, friend, fit, protect, phone, belongs, year], [case, perfect, case, iphones, nice, texture, doesnt, slip, hand, rubbery, protect, phone, fall, attest, oppose, case, case, take, fall, doesnt, crack, buy, semiclear, color, aware, time, gunk, accumulate, phone, inside, case, clean]]","[[buy son phone suggest friend fit protect phone belongs year, 0.872, 4], [case perfect case iphones nice texture doesnt slip hand rubbery protect phone fall attest oppose case case take fall doesnt crack buy semiclear color aware time gunk accumulate phone inside case clean, 0.7615, 5]]"
B004DXZ31Q,[0.8519],[5],"[[work, great, allows, take, car, love]]","[[work great allows take car love, 0.8519, 5]]"
