B0006ZUFU4,[0.0],[1],[[turn]],"[[turn, 0.0, 1]]"
B00074V0JY,[0.4019],[5],"[[phone, battery, betterthank, help]]","[[phone battery betterthank help, 0.4019, 5]]"
B000KKKI0M,[0.7056],[3],"[[get, screen, protector, sony, camera, get, camera, attemptsbr, br, attempt, cut, protector, hair, end, bubble, print, discard, piecebr, br, second, attempt, use, peice, template, cut, size, bit, touch, sticky, side, apply, protector, prevent, bubble, aside, tiny, went, wellbr, br, appearance, protector, oem, screen, im, bum, doesnt, appear, antireflective, coat, protector, protector, get, couple, scratch, handle, job, protecting, screenbr, br, find, protector, make, arii, coating, ill, swap, serf, purpose]]","[[get screen protector sony camera get camera attemptsbr br attempt cut protector hair end bubble print discard piecebr br second attempt use peice template cut size bit touch sticky side apply protector prevent bubble aside tiny went wellbr br appearance protector oem screen im bum doesnt appear antireflective coat protector protector get couple scratch handle job protecting screenbr br find protector make arii coating ill swap serf purpose, 0.7056, 3]]"
B0017TPTDG,[0.9508],[4],"[[work, great, flakey, closing, close, watertight, close, waterright, product, buy, fit, bos, radio]]","[[work great flakey closing close watertight close waterright product buy fit bos radio, 0.9508, 4]]"
B001F6EOGE,[0.6249],[5],"[[use, kayak, canoe, take, work, ]]","[[use kayak canoe take work , 0.6249, 5]]"
B001GQ3DP6,[0.2732],[5],[[work]],"[[work, 0.2732, 5]]"
B00327NVPO,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B0035JL4V2,"[0.3612, -0.1779, -0.2638, 0.2382, 0.6858, 0.8761, 0.4404, -0.296, 0.6249, 0.875, -0.2584, 0.672, 0.1132, -0.4201, 0.9548, 0.6369]","[5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 5, 5, 2, 5, 5]","[[work, well, secure, garmin, put, need, seal, surface, conform, shape, surface, hold, wife, put, seatcover, front, console, driver, passenger, side, block, vision, garmin, screen, think, luck, secures, unit, place], [work, great], [work, great, slide, dash, well, sandbag, style, holder, recommend], [gps, dash, holder, use, date], [work, great, highlander, doubt, keep, work, perfect, turn, relief, annoy, suction, fixture, keep, fall, sun], [excellent, product, fast, ship, buy, hesitation], [excellent, glad, lose, came, stick, windshield, thing, fell, sits, dash, move, yeah, take, road, trip, star, way], [work, advertise, left, dash, slide], [suction, cup, mount], [itit, work, design, ask], [work, good, space, sit, use, ford, van, explorer], [windshield, mount, keep, pop, crap], [dashboard, garmin, nuvi, lmt, inch, purchase], [nd, style, dash, mount, work, vehicles, minnesota, state, law, allow, attach, item, gps, radar, detector, windshield, law, make, unit, secure, lower, floor, help, hide, car, broken], [beanbag, mount, slide, provide, friction, stay, place, adjusts, put, garmin, phone, want, suction, mount, ok, dash, mount, location], [wont, secure, dash, move, garmin, need, stuff, piece, paper, post, keep, position]]","[[work well secure garmin put need seal surface conform shape surface hold wife put seatcover front console driver passenger side block vision garmin screen think luck secures unit place, 0.3612, 5], [work great, -0.1779, 5], [work great slide dash well sandbag style holder recommend, -0.2638, 5], [gps dash holder use date, 0.2382, 3], [work great highlander doubt keep work perfect turn relief annoy suction fixture keep fall sun, 0.6858, 5], [excellent product fast ship buy hesitation, 0.8761, 5], [excellent glad lose came stick windshield thing fell sits dash move yeah take road trip star way, 0.4404, 4], [work advertise left dash slide, -0.296, 5], [suction cup mount, 0.6249, 5], [itit work design ask, 0.875, 5], [work good space sit use ford van explorer, -0.2584, 4], [windshield mount keep pop crap, 0.672, 5], [dashboard garmin nuvi lmt inch purchase, 0.1132, 5], [nd style dash mount work vehicles minnesota state law allow attach item gps radar detector windshield law make unit secure lower floor help hide car broken, -0.4201, 2], [beanbag mount slide provide friction stay place adjusts put garmin phone want suction mount ok dash mount location, 0.9548, 5], [wont secure dash move garmin need stuff piece paper post keep position, 0.6369, 5]]"
B003FMO4VG,[-0.5873],[1],"[[lunatik, strike, case, headphone, jack, enclosure, headphone, adapter, build, wont, fit, case, search, good, adapter, doesnt, break, month, own, week, connector, start, fail, audio, cut, leave, side, headphone]]","[[lunatik strike case headphone jack enclosure headphone adapter build wont fit case search good adapter doesnt break month own week connector start fail audio cut leave side headphone, -0.5873, 1]]"
B003MWH48E,[0.7269],[4],"[[sometimes, retract, mechanism]]","[[sometimes retract mechanism, 0.7269, 4]]"
B003QLDL4C,[0.2263],[3],"[[nice, case, advertise]]","[[nice case advertise, 0.2263, 3]]"
