B00007FH7O,"[0.1531, 0.7351]","[3, 5]","[[cushion, ok, didnt, head, band, hold, ear, piece, head], [ship, perfect, fit]]","[[cushion ok didnt head band hold ear piece head, 0.1531, 3], [ship perfect fit, 0.7351, 5]]"
B0007R4LI8,"[0.8934, 0.1779, 0.1548, 0.2023]","[5, 4, 5, 1]","[[tape, didnt, work, tape, work, fine], [use, acura, tl, silverado, factory, radio, work, clear], [work, great, break, held, year, broke, cable, mm, input, become, crimp, time, stop, work, use, car, put, ipod, phone, cup, holder, squish, bottom, cord, thing, happen, use, way, flip, audio, device, upside, doesnt, crimp, purchase, phoneipod, car, mount, longer, fault, last, year, ehbr, br, audio, sound, fine, im, average, listener, put, phone, ipod, max, volume, moreless, sound, become, distortedbr, br, use, g], [work, great, use, mp, player, phone, issue, get, work, downside, tape, seem, bit, make, went, year, break, outer, plastic, crack, piece, put, center, console, glovebox, pressure, stuff, paper, put, teh, compartment, time, happen, winter, getting, cold, make, either, way, realizing, kinda, storing, center, console, glovebox, havent, issue]]","[[tape didnt work tape work fine, 0.8934, 5], [use acura tl silverado factory radio work clear, 0.1779, 4], [work great break held year broke cable mm input become crimp time stop work use car put ipod phone cup holder squish bottom cord thing happen use way flip audio device upside doesnt crimp purchase phoneipod car mount longer fault last year ehbr br audio sound fine im average listener put phone ipod max volume moreless sound become distortedbr br use g, 0.1548, 5], [work great use mp player phone issue get work downside tape seem bit make went year break outer plastic crack piece put center console glovebox pressure stuff paper put teh compartment time happen winter getting cold make either way realizing kinda storing center console glovebox havent issue, 0.2023, 1]]"
B000GUKT9Q,[0.0],[2],"[[fall, wont, stay, ear]]","[[fall wont stay ear, 0.0, 2]]"
B000N5UW8M,[0.0],[3],"[[dont, know, hook, seems, engine, wine, noise, go, order, noise, suppresser, see, work]]","[[dont know hook seems engine wine noise go order noise suppresser see work, 0.0, 3]]"
B001E8Q8XA,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B001HU4BEI,[0.3612],[5],"[[fit, elantra]]","[[fit elantra, 0.3612, 5]]"
B001PCPAFC,"[0.6249, 0.5423]","[5, 5]","[[amazon, shop, stop, doubt, thanks], [awsome, awsome, awsome, great, product]]","[[amazon shop stop doubt thanks, 0.6249, 5], [awsome awsome awsome great product, 0.5423, 5]]"
B002LV1EXS,"[0.0, 0.2732]","[3, 5]","[[work], [get, highway, speed, corner, start, fold, self, cant, see, screen, anymore]]","[[work, 0.0, 3], [get highway speed corner start fold self cant see screen anymore, 0.2732, 5]]"
B003633654,[0.3724],[4],"[[cant, go]]","[[cant go, 0.3724, 4]]"
B003L78OE8,[0.3612],[5],"[[met, expectation, promise, delivery, date]]","[[met expectation promise delivery date, 0.3612, 5]]"
B003WJB3SE,"[0.9732, 0.8016]","[5, 5]","[[love, love, millennial, us, google, map, get, work, great, set, bought, one, amazon, broke, super, fast, buy], [product, work, lg, g, phone, otter, box, find, phone, product, perfect, fall, windshield]]","[[love love millennial us google map get work great set bought one amazon broke super fast buy, 0.9732, 5], [product work lg g phone otter box find phone product perfect fall windshield, 0.8016, 5]]"
