B000281WCU,[0.2732],[4],"[[instruction, suck, need, well, selection, screwsit, mix, match, screw, selection]]","[[instruction suck need well selection screwsit mix match screw selection, 0.2732, 4]]"
B0007KK2G0,[-0.5994],[5],"[[instal, honda, pilot, pioneer, fxhbtwith, problem]]","[[instal honda pilot pioneer fxhbtwith problem, -0.5994, 5]]"
B000GOVZ0E,[0.7717],[5],"[[fit, phone, keep, securethanks]]","[[fit phone keep securethanks, 0.7717, 5]]"
B00171BFVO,"[0.4754, 0.6249]","[5, 5]","[[purchase, product, nice], [delivery, great, replacement, item]]","[[purchase product nice, 0.4754, 5], [delivery great replacement item, 0.6249, 5]]"
B001EBJTYM,[0.5994],[5],"[[way, well, cheap, kit, come, steel, bracket, bezel, surround, buy]]","[[way well cheap kit come steel bracket bezel surround buy, 0.5994, 5]]"
B001F0RPGG,"[0.9471, 0.4019, 0.7843, 0.8357, 0.7715, 0.5267, 0.0, -0.296, 0.7184, 0.0]","[5, 5, 5, 5, 4, 4, 1, 5, 5, 5]","[[doesnt, work, saw, video, youtube], [radar, detector, blow, beltronics, rx, annoy, false, hit, sound, ear, love, let, block, know, false, hit, push, button, happy, purchase], [work, time, speed, ticket, suggest, buy, mirror, mount, dont, put, anything, windshield], [everything, want, radar, detector], [wish, upgrade, passport, sooner], [pay, couple, time, nowhaha, lot, option, dont, time, slow, read, instruction, manualbr, kiddingwell, kind, ofjaneb], [radar, detector, day, make, automate, adjustment, eliminate, false, reading, someone, porch, amazon, make, question, ask, recommend, buying, amazon], [alerting, lot, false, positive], [use, everyday, work, let, know, officer, distance, remembers, hit, door, alert, upcoming, red, light, camera, money], [replacement, older, year, model, give, work, distance, detection, loud, volume, option, gps, feature, alert, tell, speed, blue, night, see, sun, max, set, go, unit]]","[[doesnt work saw video youtube, 0.9471, 5], [radar detector blow beltronics rx annoy false hit sound ear love let block know false hit push button happy purchase, 0.4019, 5], [work time speed ticket suggest buy mirror mount dont put anything windshield, 0.7843, 5], [everything want radar detector, 0.8357, 5], [wish upgrade passport sooner, 0.7715, 4], [pay couple time nowhaha lot option dont time slow read instruction manualbr kiddingwell kind ofjaneb, 0.5267, 4], [radar detector day make automate adjustment eliminate false reading someone porch amazon make question ask recommend buying amazon, 0.0, 1], [alerting lot false positive, -0.296, 5], [use everyday work let know officer distance remembers hit door alert upcoming red light camera money, 0.7184, 5], [replacement older year model give work distance detection loud volume option gps feature alert tell speed blue night see sun max set go unit, 0.0, 5]]"
B001JT7B4E,[-0.6313],[2],"[[get, pay, dont, get, good, review, box, time, boomer, chick, something, expect, suck, price, pay, love, return, pay, shipping, pound, thing, weighs, cut, loss, sub, blow, throw, couple, jls]]","[[get pay dont get good review box time boomer chick something expect suck price pay love return pay shipping pound thing weighs cut loss sub blow throw couple jls, -0.6313, 2]]"
B001VEJEGA,[0.5994],[5],"[[love, right, price, convenient]]","[[love right price convenient, 0.5994, 5]]"
B002YPO8CA,"[0.4927, 0.9831]","[5, 5]","[[come, describe, shop, install, job, go, power, ground, cable, nice, meaty, speaker, cable, tad, fine, installs, value, look, kit, money, cart, youre, go, find, kit, less, money, hook, planet, audio, anarchy, hifonics, brutus, pound, harder, friend, twin, cable, link, setup], [work, wounderful, ship, please]]","[[come describe shop install job go power ground cable nice meaty speaker cable tad fine installs value look kit money cart youre go find kit less money hook planet audio anarchy hifonics brutus pound harder friend twin cable link setup, 0.4927, 5], [work wounderful ship please, 0.9831, 5]]"
B0035UP55M,[0.0],[5],"[[tore, u, thats, get]]","[[tore u thats get, 0.0, 5]]"
B003VQS47Q,"[0.8439, 0.0]","[5, 5]","[[happy, item, need, work, deliver, time], [describe, deliver, time]]","[[happy item need work deliver time, 0.8439, 5], [describe deliver time, 0.0, 5]]"
