1059366363,"[0.765, 0.0, 0.0]","[4, 2, 1]","[[work, week], [quality, charger, fit, snug, phone, side, job, perfect], [need, buy, tear, charge, point]]","[[work week, 0.765, 4], [quality charger fit snug phone side job perfect, 0.0, 2], [need buy tear charge point, 0.0, 1]]"
B000K53QAG,[0.0],[5],[[work]],"[[work, 0.0, 5]]"
B001BX2Q20,[-0.4215],[1],"[[didnt, plastic, seem, cheap, broke, week]]","[[didnt plastic seem cheap broke week, -0.4215, 1]]"
B001EAWS6O,[-0.6486],[5],"[[product, exact, replacement, fail, battery, isolator, rv, hope, doesnt, mean, fail, way]]","[[product exact replacement fail battery isolator rv hope doesnt mean fail way, -0.6486, 5]]"
B002MY4J18,[0.8442],[5],"[[lose, tip, way, gym, day, original, come, headphone, fit, great]]","[[lose tip way gym day original come headphone fit great, 0.8442, 5]]"
B002T0EK64,"[0.4767, 0.34, 0.3321]","[5, 2, 5]","[[simple], [convenient, work, let, put, place], [come]]","[[simple, 0.4767, 5], [convenient work let put place, 0.34, 2], [come, 0.3321, 5]]"
B002WDAR06,"[0.2732, 0.3182]","[5, 3]","[[work], [arm]]","[[work, 0.2732, 5], [arm, 0.3182, 3]]"
B003MX5PB6,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B003O1XVD0,[0.409],[1],"[[wall, charger, work, car, charger, quit, work, cheap, get, pay, didnt, bother, return]]","[[wall charger work car charger quit work cheap get pay didnt bother return, 0.409, 1]]"
B0046Q60DK,[0.5927],[4],"[[gem, fell, use, happens, type, case, hold, well, others]]","[[gem fell use happens type case hold well others, 0.5927, 4]]"
B0047FWGDS,"[0.6697, -0.0276, -0.0284]","[1, 3, 3]","[[cant, plug, audio, cord, ipod, hole, case, audio, jack, cord, case, keep, device, slide, car, dashboard, purchase, use, bluetooth, wireless, connection, play, audio], [alright, rubber, doesnt, fit, tight], [broke, lead, screen, cracking]]","[[cant plug audio cord ipod hole case audio jack cord case keep device slide car dashboard purchase use bluetooth wireless connection play audio, 0.6697, 1], [alright rubber doesnt fit tight, -0.0276, 3], [broke lead screen cracking, -0.0284, 3]]"
B004PDZ6T8,"[0.6369, 0.34]","[5, 5]","[[work], [perfect, replacement, lost, mean, kicker]]","[[work, 0.6369, 5], [perfect replacement lost mean kicker, 0.34, 5]]"
B004PGMFI0,[0.0],[5],[[expect]],"[[expect, 0.0, 5]]"
B004RJ2Y6S,[0.9892],[5],"[[alpine, type, quot, downfire, seal, enclosure, alpine, watt, amp, extend, cab, chevy, year, compaints, setup, sub, stop, work, decide, remove, enclosure, get, single, quot, port, enclosure, shipping, fast, day, arrive, shape, take, minute, swap, truck, single, sub, ohm, amp, give, watt, difference, night, day, cleaner, sound, listen, sound, low, get, make, view, mirror, useless, certain, music, want, rattle, car, suggest, power, use, way, loud, inside, truck, edit, october, decide, need, power, buy, ohm, alpine, type, r, quot, replace, type, im, use, amp, ohm, watt, rms, gain, turn, sound, keep, gain, week, break, tell, sub, beast, gain, set, super, happy, everything]]","[[alpine type quot downfire seal enclosure alpine watt amp extend cab chevy year compaints setup sub stop work decide remove enclosure get single quot port enclosure shipping fast day arrive shape take minute swap truck single sub ohm amp give watt difference night day cleaner sound listen sound low get make view mirror useless certain music want rattle car suggest power use way loud inside truck edit october decide need power buy ohm alpine type r quot replace type im use amp ohm watt rms gain turn sound keep gain week break tell sub beast gain set super happy everything, 0.9892, 5]]"
B004RZICS6,[0.2975],[2],"[[work, little, battery, barley, last, day, use, chargedno, problem, time, delivery]]","[[work little battery barley last day use chargedno problem time delivery, 0.2975, 2]]"
B004TIIBMS,[0.6369],[5],[[work]],"[[work, 0.6369, 5]]"
B004Z1V0WW,[-0.8155],[1],"[[customer, service, receive, joke, rude, blame, product, didnt, work, wouldnt, use]]","[[customer service receive joke rude blame product didnt work wouldnt use, -0.8155, 1]]"
B004Z2ML1K,[0.3182],[1],"[[camera, worksbattery, doesnt, hold, charge, screen, mess]]","[[camera worksbattery doesnt hold charge screen mess, 0.3182, 1]]"
B005C2A3XA,[-0.3412],[1],"[[man, old, believe, protect, blackberry]]","[[man old believe protect blackberry, -0.3412, 1]]"
B005VNJH7I,[-0.5719],[1],"[[strap, broke, limit, use, junky]]","[[strap broke limit use junky, -0.5719, 1]]"
B006L9G20Q,[0.5719],[5],"[[excellent, product, expect]]","[[excellent product expect, 0.5719, 5]]"
B006QRHZJK,[0.8555],[5],"[[mount, work]]","[[mount work, 0.8555, 5]]"
B006TKI570,[0.0],[3],[[buy]],"[[buy, 0.0, 3]]"
B00782234E,[0.0],[5],"[[sturdy, space, thing]]","[[sturdy space thing, 0.0, 5]]"
B007B5ZAES,"[0.4019, 0.8439, 0.3612, 0.5965, 0.3724]","[5, 5, 4, 5, 5]","[[didnt, jobsent, seem, tobe, know, awhileuseing, itfreinds, itlove, color, show], [work, put, pace], [ordering, uniden, past, disappoint], [product, happy], [thank, god, product]]","[[didnt jobsent seem tobe know awhileuseing itfreinds itlove color show, 0.4019, 5], [work put pace, 0.8439, 5], [ordering uniden past disappoint, 0.3612, 4], [product happy, 0.5965, 5], [thank god product, 0.3724, 5]]"
B007R5CVPS,[0.0],[4],[[gel]],"[[gel, 0.0, 4]]"
B0080JQY4E,[0.0],[5],[[work]],"[[work, 0.0, 5]]"
B0084RORHS,[0.6369],[5],"[[month, work]]","[[month work, 0.6369, 5]]"
B0088LYCZC,"[0.0, 0.7076, 0.2732, 0.5321, 0.4404]","[4, 1, 4, 4, 5]","[[work], [screen, protector, pack, scratch, byt, round, edge, plastic, squeegie, installation, favor, spend, buck, well, product, different, manufacturer], [bubble, try, cant, air, bubble, otherwise, work], [product], [job]]","[[work, 0.0, 4], [screen protector pack scratch byt round edge plastic squeegie installation favor spend buck well product different manufacturer, 0.7076, 1], [bubble try cant air bubble otherwise work, 0.2732, 4], [product, 0.5321, 4], [job, 0.4404, 5]]"
B008BQV93C,[0.7684],[4],"[[take, get, product, great]]","[[take get product great, 0.7684, 4]]"
B008DJIHIW,[0.3612],[5],"[[want, purse]]","[[want purse, 0.3612, 5]]"
B008JF1EGW,[0.0],[5],"[[prefect, arm]]","[[prefect arm, 0.0, 5]]"
B008KYY0ZE,"[0.9268, 0.0]","[5, 5]","[[work, expect], [impress, work, use, easy, read]]","[[work expect, 0.9268, 5], [impress work use easy read, 0.0, 5]]"
B008OW8WNI,"[0.6249, 0.0]","[4, 5]","[[magellan, purchase, work], [smooth, transaction, product, meet, expectation]]","[[magellan purchase work, 0.6249, 4], [smooth transaction product meet expectation, 0.0, 5]]"
B008YPQ47G,[0.765],[5],"[[get, fo, daughter, love, price, buy]]","[[get fo daughter love price buy, 0.765, 5]]"
B009T0NNVK,[0.3612],[5],"[[work, suppose]]","[[work suppose, 0.3612, 5]]"
B00AOCSFYC,"[0.2732, 0.8618, 0.441, 0.7713]","[4, 4, 4, 2]","[[cheap, construction, discard, cable, come, product, app], [product, nice, app, navigation, feature, app, good, others, ok, star, tension, spring, havent, check, modify], [work], [item, work, note, clamp, device, grab, phone, power, button, volume, button, option, phone, samsung, decide, custom, fit, dock, charger, building, flagship, phone]]","[[cheap construction discard cable come product app, 0.2732, 4], [product nice app navigation feature app good others ok star tension spring havent check modify, 0.8618, 4], [work, 0.441, 4], [item work note clamp device grab phone power button volume button option phone samsung decide custom fit dock charger building flagship phone, 0.7713, 2]]"
B00AZRJ6GW,[0.6369],[5],"[[match, beat, headphone, love]]","[[match beat headphone love, 0.6369, 5]]"
B00BJS9EFY,[0.0],[1],"[[dont, think, order]]","[[dont think order, 0.0, 1]]"
B00BS5UL46,[-0.408],[2],"[[look, cover, make, grab, hold, phone, casecover, meet, need, stay, phone, slip, hug, phone, expect, replace, product]]","[[look cover make grab hold phone casecover meet need stay phone slip hug phone expect replace product, -0.408, 2]]"
B00BUJ6MW0,"[-0.5859, 0.4877, 0.1901]","[3, 5, 1]","[[packaging, oem, box, envelope, wait, hr, take, stereo, trouble, shoot, camera, advice, dot, waist, time, wire, till, test, camera, chasie, quality, size, fine, corolla], [cheap, install], [product, work, power, video, cord, hook, ground, video, screen, help]]","[[packaging oem box envelope wait hr take stereo trouble shoot camera advice dot waist time wire till test camera chasie quality size fine corolla, -0.5859, 3], [cheap install, 0.4877, 5], [product work power video cord hook ground video screen help, 0.1901, 1]]"
B00C067QCW,[0.0],[1],"[[reset, telephone]]","[[reset telephone, 0.0, 1]]"
B00C78RTD4,[-0.2755],[1],"[[screen, doesnt, fit, turn]]","[[screen doesnt fit turn, -0.2755, 1]]"
B00CIZA1HM,[0.6115],[5],"[[wife, happy]]","[[wife happy, 0.6115, 5]]"
B00CMWCVTM,[0.0],[5],"[[work, advertise]]","[[work advertise, 0.0, 5]]"
B00DF9VBIS,"[0.9411, 0.2023, 0.9744]","[5, 5, 5]","[[open, package, find, hop, look, hardwood, fit, iphone, case, craftsmanship, seem, woodgrain, come, seem, hoping, survive, fall, recommend, anyone, look], [fit, fine, look], [case, doesnt, make, phone, triple, size, type, case, offer, protection, conjunction, temper, glass, phone, look, nice, wood, phone, case, recommend, make, get, screen, protector]]","[[open package find hop look hardwood fit iphone case craftsmanship seem woodgrain come seem hoping survive fall recommend anyone look, 0.9411, 5], [fit fine look, 0.2023, 5], [case doesnt make phone triple size type case offer protection conjunction temper glass phone look nice wood phone case recommend make get screen protector, 0.9744, 5]]"
B00DNV9V1W,[0.8689],[5],"[[protection, cell, phone, screen, easy, install, clean]]","[[protection cell phone screen easy install clean, 0.8689, 5]]"
B00DYA9AWC,"[0.4215, 0.0258]","[4, 4]","[[nice, product], [phone, die, lunch, day, im, excite, im, leave, work, half, battery, life, leave, packaging, fine, odd, thing, battery, print, battery, whos, go, see]]","[[nice product, 0.4215, 4], [phone die lunch day im excite im leave work half battery life leave packaging fine odd thing battery print battery whos go see, 0.0258, 4]]"
B00E8GQF56,"[0.0, 0.7906]","[5, 4]","[[naked, x, get, case, look], [nice, case, hope, need, protects, phone, fall]]","[[naked x get case look, 0.0, 5], [nice case hope need protects phone fall, 0.7906, 4]]"
