B000MGFV38,[0.9246],[5],"[[use, year, awesome, value, look, nice]]","[[use year awesome value look nice, 0.9246, 5]]"
B0018GCS50,[0.7906],[5],"[[product, install]]","[[product install, 0.7906, 5]]"
B001TLT8BG,[0.4588],[5],"[[work, great, problem, save, phone]]","[[work great problem save phone, 0.4588, 5]]"
B003B1ITFS,"[0.9499, 0.2023]","[1, 3]","[[idea, depend, cigarette, lighter, set, car, spin, sit, month, support, weight, phone, lighter, adapter, broke, pole, ], [stem, kind, position, broke, stem, support, face, way, try, squeeze, drink, cup, holder, block, jamming, sure, sit, cigarette, lighter, cigarette, car, awkward, position, use, gps, direction, car, use, cigarette, lighter, charger, disconnect, bluetooth, connection, speaker, idea, happen, plug, usb, console, fine, car, stiff, klunky, awkward, place, phone, sitbr, br, broke, get, koomus, air, vent, phone, mount, device, air, vent, better, height, gps, ac, keep, phone, cooler, phone, heat, use, direction, use, least, year, complaint, im, hop, vent, ac, wont, lose, ability, support, weight, phone]]","[[idea depend cigarette lighter set car spin sit month support weight phone lighter adapter broke pole , 0.9499, 1], [stem kind position broke stem support face way try squeeze drink cup holder block jamming sure sit cigarette lighter cigarette car awkward position use gps direction car use cigarette lighter charger disconnect bluetooth connection speaker idea happen plug usb console fine car stiff klunky awkward place phone sitbr br broke get koomus air vent phone mount device air vent better height gps ac keep phone cooler phone heat use direction use least year complaint im hop vent ac wont lose ability support weight phone, 0.2023, 3]]"
B0042DIZTE,"[0.6249, 0.6249]","[5, 5]","[[work, great, tv], [work, great, use, connect, amp, pc, listen, music, bookshelf, speaker]]","[[work great tv, 0.6249, 5], [work great use connect amp pc listen music bookshelf speaker, 0.6249, 5]]"
B0042KWIIG,[0.8957],[5],"[[buy, husband, love, im, get, purchase]]","[[buy husband love im get purchase, 0.8957, 5]]"
B006X1YTDO,[0.296],[4],[[ok]],"[[ok, 0.296, 4]]"
B0073B6RWO,[0.9331],[4],"[[belt, couple, year, clamp, broke, hinge, plastic, broke, spring, area, ive, drop, phone, time, hip, level, couple, chip, case, continue, sleek, look, great, feel, replace, held, section, case, event, portion, less, upgrade, phone, wont, need, buy, iphone, love, find, something, havent, look]]","[[belt couple year clamp broke hinge plastic broke spring area ive drop phone time hip level couple chip case continue sleek look great feel replace held section case event portion less upgrade phone wont need buy iphone love find something havent look, 0.9331, 4]]"
B0073C0QSE,[0.6249],[5],"[[take, picture]]","[[take picture, 0.6249, 5]]"
B0076SIICG,[0.4754],[5],"[[nice, speaker]]","[[nice speaker, 0.4754, 5]]"
B0078S8T8W,"[0.6483, 0.1082]","[4, 5]","[[install, work, m, coupe, iphone, work, unit, hardest, part, install, finding, cd, changer, wire, hide, bit, issue, system], [work, great, phone, system, well, buy, model, hand, calling]]","[[install work m coupe iphone work unit hardest part install finding cd changer wire hide bit issue system, 0.6483, 4], [work great phone system well buy model hand calling, 0.1082, 5]]"
B007BG87F6,[0.7906],[5],[[seller]],"[[seller, 0.7906, 5]]"
B0080NPSYM,[0.7351],[5],"[[buy, enjoy, use]]","[[buy enjoy use, 0.7351, 5]]"
B008K7VYKA,"[0.8402, 0.6908]","[5, 5]","[[nice, item, thanks], [quality, use, untangle, time, nerve, saver]]","[[nice item thanks, 0.8402, 5], [quality use untangle time nerve saver, 0.6908, 5]]"
B008PIAQQC,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
