B0002IED58,[0.6249],[5],"[[work, wrangler]]","[[work wrangler, 0.6249, 5]]"
B000G2TLIO,[0.5416],[4],"[[decent, phone, buy, mother, interest, technology, learn, text, thing, great, job, phone, work]]","[[decent phone buy mother interest technology learn text thing great job phone work, 0.5416, 4]]"
B000LP4RMQ,"[0.296, -0.7351]","[3, 5]","[[look, cheap, work, fine], [work, advertise, intend, hook, roku, vehicle, tether, wifi, hotspot, kid, stream, show, trip, problem, ground, noise, feedback, audio, device, eliminate]]","[[look cheap work fine, 0.296, 3], [work advertise intend hook roku vehicle tether wifi hotspot kid stream show trip problem ground noise feedback audio device eliminate, -0.7351, 5]]"
B000NWCIE6,[0.3612],[5],"[[fit, honda]]","[[fit honda, 0.3612, 5]]"
B000NWHVU2,[0.6249],[5],"[[quick, service, work, honda, accord, lx]]","[[quick service work honda accord lx, 0.6249, 5]]"
B000TD50HQ,[0.3612],[5],"[[lose, ha, ha]]","[[lose ha ha, 0.3612, 5]]"
B000UOGT2Y,[-0.1027],[1],"[[unlock, phone]]","[[unlock phone, -0.1027, 1]]"
B001PO6JD2,[0.34],[5],"[[secure, base, garmin, gps, mount]]","[[secure base garmin gps mount, 0.34, 5]]"
B0024R9PY4,[0.2516],[5],"[[lag, field, great, iphone, case, find]]","[[lag field great iphone case find, 0.2516, 5]]"
B002SKVYZA,[-0.0019],[5],"[[price, screen, protector, instal, fuss, bother, zune, hd, use, condition, wasnt, protector, help, keep, get, scratch, haze]]","[[price screen protector instal fuss bother zune hd use condition wasnt protector help keep get scratch haze, -0.0019, 5]]"
B002ZNIWJ6,[-0.4767],[1],"[[break, get, return]]","[[break get return, -0.4767, 1]]"
B003550RHI,[0.7178],[5],"[[install, nice, product, price]]","[[install nice product price, 0.7178, 5]]"
B0036FW3OM,[0.7506],[5],"[[thing, awesome, idea, killer, price, thank]]","[[thing awesome idea killer price thank, 0.7506, 5]]"
B0040N1WJ6,[0.8481],[5],"[[service, product]]","[[service product, 0.8481, 5]]"
B004123HH6,[-0.1027],[3],"[[decent, kit, price, pay, quality, kit]]","[[decent kit price pay quality kit, -0.1027, 3]]"
B0041538PO,[0.1459],[1],"[[cheap, china, knockoff, black, plastic, exterior, piece, cover, factory, antenna, hole, angle, base, plate, antenna, stick, degree, plug, doesnt, fit, radio, antenna, extension, cosmetic, hardware, chip, scratch, instal, instruction, include, replacement, avoid, piece, junk]]","[[cheap china knockoff black plastic exterior piece cover factory antenna hole angle base plate antenna stick degree plug doesnt fit radio antenna extension cosmetic hardware chip scratch instal instruction include replacement avoid piece junk, 0.1459, 1]]"
B0045KXU3A,[0.3716],[4],"[[buy, cant, get, bubble]]","[[buy cant get bubble, 0.3716, 4]]"
B004CTBYGE,[0.8313],[5],"[[excellent, line, output, converter, instal, bmw, m, instal, dedicate, subwoofer, amp, upgrade, market, sub, unit, match, output, stock, bmw, amp, subwoofer, market, amp, installedbr, br, unit, make, bass, sound, lot, tighter, deeper, bassbr, br, recommend]]","[[excellent line output converter instal bmw m instal dedicate subwoofer amp upgrade market sub unit match output stock bmw amp subwoofer market amp installedbr br unit make bass sound lot tighter deeper bassbr br recommend, 0.8313, 5]]"
B004FWKXJW,[0.0],[5],"[[function, advertise]]","[[function advertise, 0.0, 5]]"
B004H8FTMK,[0.4118],[5],"[[scar, buy, say, use, decent, buy, front, volume, button, issue, buy, interface, steer, wheel, control, car, stereo, shop, wireless, remote, order, amazon]]","[[scar buy say use decent buy front volume button issue buy interface steer wheel control car stereo shop wireless remote order amazon, 0.4118, 5]]"
B004IAMCUE,[0.5719],[5],"[[excellent, guy]]","[[excellent guy, 0.5719, 5]]"
B0054EGM72,[-0.1531],[3],"[[cheap, get, pay]]","[[cheap get pay, -0.1531, 3]]"
B005GE8YZS,[0.0],[3],"[[hrd, turn, stick, window]]","[[hrd turn stick window, 0.0, 3]]"
B005KMK2VU,[-0.0772],[1],"[[slot, sim, card, use, impression, unlock, use, verizon]]","[[slot sim card use impression unlock use verizon, -0.0772, 1]]"
B005LQCP10,[0.0],[3],"[[buying, flex, tube, year, time, measurement, id, od, tubing, id, od, advertise]]","[[buying flex tube year time measurement id od tubing id od advertise, 0.0, 3]]"
B005O1I7T6,[0.6249],[5],"[[buy, wife, mine, great, phone, money]]","[[buy wife mine great phone money, 0.6249, 5]]"
B005SI00I6,[-0.6669],[3],"[[think, iphone, charger, attach, see, didnt, cute]]","[[think iphone charger attach see didnt cute, -0.6669, 3]]"
