967831519X,"[0.5187, 0.8596, 0.8316]","[1, 4, 5]","[[excellent, quality, great, product], [update, review, charge, port, hold, time, doesnt, see, charge, cable, plug, take, charge, touch, contact, month, start, state, day, better, good, go, star, correct, problem], [didnt, work, phone, fit, charge]]","[[excellent quality great product, 0.5187, 1], [update review charge port hold time doesnt see charge cable plug take charge touch contact month start state day better good go star correct problem, 0.8596, 4], [didnt work phone fit charge, 0.8316, 5]]"
B0009FCAJA,"[-0.802, 0.8201]","[1, 3]","[[work, recondition, feel, shell, replace, cheapest, kit, havent, phone, year, remember, feel], [copy, content, poor, sound, transmission, rank, broken, morse, code, poor, motorola, model]]","[[work recondition feel shell replace cheapest kit havent phone year remember feel, -0.802, 1], [copy content poor sound transmission rank broken morse code poor motorola model, 0.8201, 3]]"
B000CHRJFK,[0.0],[5],[[recomendado]],"[[recomendado, 0.0, 5]]"
B00199HDHE,[0.9497],[5],"[[company, battery, fit, perfect, wouldnt, charge, sent, day, work]]","[[company battery fit perfect wouldnt charge sent day work, 0.9497, 5]]"
B001KZTSOI,[0.8481],[3],"[[radio, great, price, deliverythank]]","[[radio great price deliverythank, 0.8481, 3]]"
B002D3D2X4,[0.5719],[5],"[[work, wonderful, wore]]","[[work wonderful wore, 0.5719, 5]]"
B002W4V4WK,"[0.6249, 0.0]","[5, 2]","[[month, separate, plug], [add, pic, camera, computer]]","[[month separate plug, 0.6249, 5], [add pic camera computer, 0.0, 2]]"
B0040R1KKS,[0.0],[5],"[[exceded, expectation]]","[[exceded expectation, 0.0, 5]]"
B004HGJ3YC,[-0.1531],[4],"[[ear, piece, good, q, last, month]]","[[ear piece good q last month, -0.1531, 4]]"
B004HM47VA,[0.1045],[4],"[[ok, problem, slip, insert, battery, difficult]]","[[ok problem slip insert battery difficult, 0.1045, 4]]"
B004LUPA5A,[0.2732],[4],"[[work, time, start, break, clip, see, go]]","[[work time start break clip see go, 0.2732, 4]]"
B004MCJBJI,"[0.4404, 0.9128, 0.6369, 0.8271, -0.741, 0.5248]","[5, 5, 5, 4, 1, 5]","[[class, product, clear, set, recommend, anyone, great, productbr, gregory, belboda], [fit, pretty, commute, dont, know, something, us, run, multitasking], [jabar, wave, tooth], [fit, close, head, ride, use, rid, come, matter, sweaty, get], [headset, work, week, start, problem, transmit, audio, drop, people, end, hear, day, headset, start, disconnect, phone, reconnect, phone, happens, twice, day, turn, day, thing, happen, connectend, switch, quit, work, phone, call, sent, email, try, get, replace, luck, call, jabra, try, get, headset, replace, time, tell, need, reset, headset, factory, default, require, press, hold, connectend, key, work, call, time, tell, get, email, hour, instruction, get, replacement, day, call, see, receive, email, tell, email, hour, instruction, hour, email, headset, seem, jabra, lie, recommend, buy, jabra, product, stand]]","[[class product clear set recommend anyone great productbr gregory belboda, 0.4404, 5], [fit pretty commute dont know something us run multitasking, 0.9128, 5], [jabar wave tooth, 0.6369, 5], [fit close head ride use rid come matter sweaty get, 0.8271, 4], [headset work week start problem transmit audio drop people end hear day headset start disconnect phone reconnect phone happens twice day turn day thing happen connectend switch quit work phone call sent email try get replace luck call jabra try get headset replace time tell need reset headset factory default require press hold connectend key work call time tell get email hour instruction get replacement day call see receive email tell email hour instruction hour email headset seem jabra lie recommend buy jabra product stand, -0.741, 1], [, 0.5248, 5]]"
B004OQDXRS,[0.5719],[3],"[[work, fine, thanks]]","[[work fine thanks, 0.5719, 3]]"
B004YNKUFY,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B005TDWU24,[0.6705],[5],"[[excellent, product, recommend]]","[[excellent product recommend, 0.6705, 5]]"
B0067RP6S6,[0.7227],[5],"[[delivery, couldnt, find, type, case, work, phone, fit, perfect, price, cant, beat]]","[[delivery couldnt find type case work phone fit perfect price cant beat, 0.7227, 5]]"
B006BUEV1W,[0.6124],[4],"[[work, replace, let, hope, last]]","[[work replace let hope last, 0.6124, 4]]"
B006IM0M0C,[0.5719],[5],"[[excellent, item]]","[[excellent item, 0.5719, 5]]"
B007OZMKBQ,[-0.395],[1],"[[verify, model, advertise, fit, phone]]","[[verify model advertise fit phone, -0.395, 1]]"
B008DBRE2U,"[0.0, 0.9001]","[1, 5]","[[daughter, love, case, weve, month, hold, fine, great, value]]","[[daughter love case weve month hold fine great value, 0.0, 1], [, 0.9001, 5]]"
B008P2UVT0,"[0.9812, -0.5574]","[3, 1]","[[crappy, phone], [phone, bit, buggy, freeze, alot, apps, dont, run, shut, alot, side, keyboard, great, love, phone, drop, throw, countless, time, screen, break, size, feeling, bit, ambivalent, love, phone, hate, doesnkt, run, alot]]","[[crappy phone, 0.9812, 3], [phone bit buggy freeze alot apps dont run shut alot side keyboard great love phone drop throw countless time screen break size feeling bit ambivalent love phone hate doesnkt run alot, -0.5574, 1]]"
B0096FLV2G,[0.8658],[5],"[[friend, share]]","[[friend share, 0.8658, 5]]"
B0099PD388,[0.7906],[4],"[[nice, wallet, case, delicate, design, color]]","[[nice wallet case delicate design color, 0.7906, 4]]"
B009GLW1PG,[0.0],[5],"[[work, intend]]","[[work intend, 0.0, 5]]"
B009NLTW60,"[0.8588, 0.2135, 0.8247, 0.6249, 0.7083, 0.9493, 0.4927, 0.6369, 0.8061, 0.9538, 0.0, 0.9274, -0.7089]","[5, 5, 2, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5]","[[voice, call, hearing, song, button, hearing, song], [belkin, product, quit, work, month, decide, go, kinivo, love, connects, time, belkin, voice, call, purchase, place], [productinstalled, ct, plug, audioin, jack, locate, center, console, circular, part, stick, dash, pair, call, come, press, center, circle, call, come, speaker, systemcrisp, clear, end, pressing, center, circle, redialled, call, recommend, product, pac, sni, mm, ground, loop, noise, reducer], [review, kinivo, hour, ive, search, year, try, use, system, sync, call, use, motorola, tx, satechi, bt, fail, device, set, wire, dash, make, br, device], [excellent, product, arrive, setup, quality, clear, use, lg, g], [add, daughter, jetta, unit, work, iphones, install, pair, use, decent, audio, quality], [love, device, year, stop, work, tech, support, say, nothing, hate, order, go, look, brand, ], [year, yes, use, product, write, review, work, gone, year, half, dont, deal, wire, quality, ford, taurus, amaze, wireless, receiver, ill, repurchase, breakswhenever, dont, know, ], [product, switching, phone, purchase], [set, work, siri, sound, quality, caller, driver, easy, link, iphone, give, th, star, cool, incoming, call, get, rout, mode, need, switch, fmam, radio, auxiliary, receive, call, minor, issue], [happy, unit, use, make, call, v, play, music, problem, update, unit, week], [advertise, quick]]","[[voice call hearing song button hearing song, 0.8588, 5], [belkin product quit work month decide go kinivo love connects time belkin voice call purchase place, 0.2135, 5], [productinstalled ct plug audioin jack locate center console circular part stick dash pair call come press center circle call come speaker systemcrisp clear end pressing center circle redialled call recommend product pac sni mm ground loop noise reducer, 0.8247, 2], [review kinivo hour ive search year try use system sync call use motorola tx satechi bt fail device set wire dash make br device, 0.6249, 5], [excellent product arrive setup quality clear use lg g, 0.7083, 4], [add daughter jetta unit work iphones install pair use decent audio quality, 0.9493, 4], [love device year stop work tech support say nothing hate order go look brand , 0.4927, 5], [year yes use product write review work gone year half dont deal wire quality ford taurus amaze wireless receiver ill repurchase breakswhenever dont know , 0.6369, 5], [product switching phone purchase, 0.8061, 4], [set work siri sound quality caller driver easy link iphone give th star cool incoming call get rout mode need switch fmam radio auxiliary receive call minor issue, 0.9538, 5], [happy unit use make call v play music problem update unit week, 0.0, 5], [advertise quick, 0.9274, 5], [, -0.7089, 5]]"
B009SCFZU6,[0.0],[4],[[suppose]],"[[suppose, 0.0, 4]]"
B00A2JBZZI,[-0.5994],[5],"[[say, came, ontime, nit, btoken, complaint]]","[[say came ontime nit btoken complaint, -0.5994, 5]]"
B00A5OA1NW,[0.836],[5],"[[stylus, pen, word, line, end, plug, jack, space, use, earbuds, keep, stylus, pen, plus, pen, color, drawstring, bag, buy, case, replacement, rubber, tip, pen, replacement, tip, fit, drawstring, bag, cool]]","[[stylus pen word line end plug jack space use earbuds keep stylus pen plus pen color drawstring bag buy case replacement rubber tip pen replacement tip fit drawstring bag cool, 0.836, 5]]"
B00AA5CK6M,[-0.1027],[1],"[[wont, stay, close, get, pay]]","[[wont stay close get pay, -0.1027, 1]]"
B00AEZU7H2,[0.0],[5],"[[item, desctibed]]","[[item desctibed, 0.0, 5]]"
B00AL1IUH8,[0.0],[5],[[exelente]],"[[exelente, 0.0, 5]]"
B00AWL63I0,[0.6652],[3],"[[okay, case, backing, start, week, quality]]","[[okay case backing start week quality, 0.6652, 3]]"
B00AXSXDFI,[-0.8628],[1],"[[worst, phone, ive, life, recommend, anyone, spent, week, damage, water, waterproof, device, dont, think, gotcha]]","[[worst phone ive life recommend anyone spent week damage water waterproof device dont think gotcha, -0.8628, 1]]"
B00BESGPKQ,[0.0],[1],"[[phone, work, verizon, specify]]","[[phone work verizon specify, 0.0, 1]]"
B00BPK597I,"[0.5719, 0.0, 0.899, 0.7906, 0.7579, 0.3612, 0.8316, 0.5994, 0.4404]","[4, 5, 4, 5, 4, 2, 4, 5, 5]","[[handy, way, click, ear, phone, open, cord, great, work, print, thing], [perfect, need], [okay, want, stylus, interact, screen, want, write, look], [work], [chuck, leash, use, garbage, sold, verizon, work, turbo, package, allows, access, place, use], [thanks], [value, product], [thanks], [work, like, length, extra, tip]]","[[handy way click ear phone open cord great work print thing, 0.5719, 4], [perfect need, 0.0, 5], [okay want stylus interact screen want write look, 0.899, 4], [work, 0.7906, 5], [chuck leash use garbage sold verizon work turbo package allows access place use, 0.7579, 4], [thanks, 0.3612, 2], [value product, 0.8316, 4], [thanks, 0.5994, 5], [work like length extra tip, 0.4404, 5]]"
B00BQ7RPOK,[-0.1531],[5],"[[case, phone, year, work, let, phone, suffer, damage, drop, time, case, price]]","[[case phone year work let phone suffer damage drop time case price, -0.1531, 5]]"
