9713449983,[-0.2263],[1],"[[stop, work, week]]","[[stop work week, -0.2263, 1]]"
9985504771,[-0.0516],[4],"[[problem, work, fast, shipping]]","[[problem work fast shipping, -0.0516, 4]]"
B0001XO674,"[-0.7104, 0.9702, 0.8591, 0.7783, 0.7003, 0.6249]","[5, 5, 5, 4, 4, 5]","[[buy, friend, replace, exist, speaker, install, sound, x, well, rot, speaker, produce, base, mid, range, decent, feel, heft, come, gasket, put, instead, use, marine, sealant, curve, mount, surface, want, use, sealant, addition, gasket, buy, boat], [money, cant, beat, nice, loud, lot, bass, affordable, enlarge, hole, bit, im, sure, measure, month, issuesfixing, buy, add, front, speaker, im, go, add], [quality, speaker, price, open, need, speaker, enclosure, side], [sound, great, bass, expect, inch, speaker], [sound, pair, pyle, watt, bluetooth, amp, amazon, decent, stereo, boat], [nice, clear, work, boat]]","[[buy friend replace exist speaker install sound x well rot speaker produce base mid range decent feel heft come gasket put instead use marine sealant curve mount surface want use sealant addition gasket buy boat, -0.7104, 5], [money cant beat nice loud lot bass affordable enlarge hole bit im sure measure month issuesfixing buy add front speaker im go add, 0.9702, 5], [quality speaker price open need speaker enclosure side, 0.8591, 5], [sound great bass expect inch speaker, 0.7783, 4], [sound pair pyle watt bluetooth amp amazon decent stereo boat, 0.7003, 4], [nice clear work boat, 0.6249, 5]]"
B0002OOYLK,[0.0],[5],[[need]],"[[need, 0.0, 5]]"
B0009U8ZBC,[0.0],[1],[[garbage]],"[[garbage, 0.0, 1]]"
B000EXU4YK,[0.4404],[1],"[[get, part, go, gps, part]]","[[get part go gps part, 0.4404, 1]]"
B0012VT1QK,[0.8519],[4],"[[work, instal, tl, navigation, system]]","[[work instal tl navigation system, 0.8519, 4]]"
B001715CTA,[0.5994],[5],[[love]],"[[love, 0.5994, 5]]"
B001L9ZG6C,[0.0],[5],"[[arrive, expect]]","[[arrive expect, 0.0, 5]]"
B003MW0OIQ,[0.0516],[5],"[[phone, problem, seller]]","[[phone problem seller, 0.0516, 5]]"
B004NO1CFG,[0.6249],[5],"[[product, work, gps, purchase, gps, deal]]","[[product work gps purchase gps deal, 0.6249, 5]]"
