1059742772,[0.6176],[5],"[[charger, work, fine, get, time, thank, till, time, order, get, star, yaya, awsome]]","[[charger work fine get time thank till time order get star yaya awsome, 0.6176, 5]]"
5891090503,[-0.8305],[1],"[[dont, waste, money, know, cheap, useless, cant, use, wont, stick, phone, place, let, reason, buy]]","[[dont waste money know cheap useless cant use wont stick phone place let reason buy, -0.8305, 1]]"
971295496X,[0.5719],[5],"[[perfect, charger, htcone, m]]","[[perfect charger htcone m, 0.5719, 5]]"
B0002SPDPM,[0.6908],[5],"[[item, arrive, couple, day, nothing, break, problem, product, seller]]","[[item arrive couple day nothing break problem product seller, 0.6908, 5]]"
B000VXQZ9Q,[0.802],[5],"[[case, ipod, classic, year, drop, time, scratch, ipod, case]]","[[case ipod classic year drop time scratch ipod case, 0.802, 5]]"
B001G5A3UU,[0.9382],[4],"[[using, month, put, phone, something, purse, key, scrap, screen, leave, scratch, screen, protector, protect, screen, scratch, get, price, product, im, glad, say]]","[[using month put phone something purse key scrap screen leave scratch screen protector protect screen scratch get price product im glad say, 0.9382, 4]]"
B004063SWM,[0.6249],[3],[[buy]],"[[buy, 0.6249, 3]]"
B005A0B7CA,"[0.6249, 0.8999, 0.7351, 0.0, -0.8263, 0.6249, 0.8625, -0.4497, 0.9418, 0.0, 0.6705, 0.6249]","[5, 5, 5, 5, 1, 5, 4, 2, 4, 2, 5, 5]","[[expect], [nice, compact, audio, maximum, volume], [happy, device, sound, quality, clear], [mine, connect, phone, return], [use, work, clarity], [work, great, ship], [please, charge, week, use, everyday, work, van, perfect, speaker, bass, purchase], [happy, purchase, teen, driver, hand, use, speaker, gps, iphone, sleak, love], [get, product, girlfriend, sound, call, vrhicle], [nice, speaker, wish, louder], [buy, dad, love, ease, use]]","[[expect, 0.6249, 5], [nice compact audio maximum volume, 0.8999, 5], [happy device sound quality clear, 0.7351, 5], [mine connect phone return, 0.0, 5], [use work clarity, -0.8263, 1], [work great ship, 0.6249, 5], [please charge week use everyday work van perfect speaker bass purchase, 0.8625, 4], [happy purchase teen driver hand use speaker gps iphone sleak love, -0.4497, 2], [get product girlfriend sound call vrhicle, 0.9418, 4], [nice speaker wish louder, 0.0, 2], [buy dad love ease use, 0.6705, 5], [, 0.6249, 5]]"
B005DIBFYE,[0.8625],[4],"[[product, buy, sale, half, price, rat, consumer, report, believe, garmin, gps]]","[[product buy sale half price rat consumer report believe garmin gps, 0.8625, 4]]"
B005Q65JHM,[0.0],[5],"[[work, say]]","[[work say, 0.0, 5]]"
B005YTP3R2,[0.9545],[5],"[[look, great, work, fit, plus, price]]","[[look great work fit plus price, 0.9545, 5]]"
B006070LXI,[0.1531],[3],"[[ok, didnt, work]]","[[ok didnt work, 0.1531, 3]]"
B007B5ZR4G,"[-0.5423, 0.7506]","[2, 4]","[[guy, work, beware, gsm, restriction, read, use, channel, power, get, fcc, license, perfect, compact, work, event, building, prove, interference, consider, werent, secret, service, get, job, done, alright], [sound]]","[[guy work beware gsm restriction read use channel power get fcc license perfect compact work event building prove interference consider werent secret service get job done alright, -0.5423, 2], [sound, 0.7506, 4]]"
B007NSRUAU,"[0.0, 0.8519]","[3, 5]","[[screen, separate, case], [daughter, love, give, gift, get, thank, comment, time]]","[[screen separate case, 0.0, 3], [daughter love give gift get thank comment time, 0.8519, 5]]"
B007T3PQRI,[0.8934],[5],"[[buy, gift, family, member, love, save, ticket, time, give, warning, time, slow]]","[[buy gift family member love save ticket time give warning time slow, 0.8934, 5]]"
B0088DGYRY,[0.7003],[5],"[[size, case, good, jobsatisfied, product]]","[[size case good jobsatisfied product, 0.7003, 5]]"
B009GHTLRG,[0.3612],[5],"[[fit, glove]]","[[fit glove, 0.3612, 5]]"
B009JR1V8K,[0.6249],[5],[[deal]],"[[deal, 0.6249, 5]]"
B009M27MB2,"[-0.3612, 0.3612, 0.4168, 0.7841, 0.0, 0.9638, 0.7717, 0.9184, -0.3253, -0.7365, 0.903, 0.9245, 0.6249, -0.9287, -0.1272, 0.4754]","[1, 3, 1, 5, 1, 5, 4, 5, 1, 2, 5, 2, 3, 1, 1, 5]","[[get, make, adjustment, make, size], [purchase, item, use, work, advertise, purpose, purchase, june, great, experience, august, however, receives, battery, go, charge, minute, use, rat, ], [take, time, find, head], [purchase, work, august, power, button, quit, work, work, get, replace], [deal, sflex, hd, wireless, headset, crack, fine, listening, music, run], [work, use, fit], [wear, sound, okay, isnt, designeddifficult, figure], [worst, fit, hate, hate], [satisfy], [fit, keep, ear, feel], [piece, junk, last, month, motorola, embarrass, put, piece, junk], [set, develop, sound, quality, weeksbr, try, source, sound, distortedbr, problem, develop, get, worse, realize, didnt, use, thembr, switch, set, brand, apply, returnbr, br, pair, im, afraid, try, willbr, br, get, bag, literaturebr, br, seem, package, remanufactured, productbr, br, gold, box, deal, friend, woot], [happy, sound, pretty, noise, cancel], [item, work, recommend], [headset, awesome, sound, take, charge, hour, wear, sound, great, love, amount, pay], [work, instruction, power, cord, charge]]","[[get make adjustment make size, -0.3612, 1], [purchase item use work advertise purpose purchase june great experience august however receives battery go charge minute use rat , 0.3612, 3], [take time find head, 0.4168, 1], [purchase work august power button quit work work get replace, 0.7841, 5], [deal sflex hd wireless headset crack fine listening music run, 0.0, 1], [work use fit, 0.9638, 5], [wear sound okay isnt designeddifficult figure, 0.7717, 4], [worst fit hate hate, 0.9184, 5], [satisfy, -0.3253, 1], [fit keep ear feel, -0.7365, 2], [piece junk last month motorola embarrass put piece junk, 0.903, 5], [set develop sound quality weeksbr try source sound distortedbr problem develop get worse realize didnt use thembr switch set brand apply returnbr br pair im afraid try willbr br get bag literaturebr br seem package remanufactured productbr br gold box deal friend woot, 0.9245, 2], [happy sound pretty noise cancel, 0.6249, 3], [item work recommend, -0.9287, 1], [headset awesome sound take charge hour wear sound great love amount pay, -0.1272, 1], [work instruction power cord charge, 0.4754, 5]]"
B009RYX94E,"[0.6369, 0.0]","[5, 2]","[[galaxy, need, fit, allow, access, control], [phone, crack, carpet]]","[[galaxy need fit allow access control, 0.6369, 5], [phone crack carpet, 0.0, 2]]"
B009VI5KTI,[0.8779],[5],"[[fit, phone, look, fit, hand, buy]]","[[fit phone look fit hand buy, 0.8779, 5]]"
B009ZJ3MSY,"[0.9615, 0.7778, 0.9485]","[4, 4, 5]","[[sound, great, dont, get, complaint, person, end, earpiece, come, didnt, fit, ear, hear, use, yurbud, piece, put, use, battery, life, seem, great, headset], [happy, headset, headset, real, cheapie, get, redeem, credit, card, point, hearing, person, end, line, volume, plantronics, legend, go, find, satisfactory, wear, feel, ear, need, play, different, earpiece, cushion, option, come, unit, problem, connect, get, fit, want, charge, case], [headset, battery, life, good, doesnt, seem, windows, phone]]","[[sound great dont get complaint person end earpiece come didnt fit ear hear use yurbud piece put use battery life seem great headset, 0.9615, 4], [happy headset headset real cheapie get redeem credit card point hearing person end line volume plantronics legend go find satisfactory wear feel ear need play different earpiece cushion option come unit problem connect get fit want charge case, 0.7778, 4], [headset battery life good doesnt seem windows phone, 0.9485, 5]]"
B00A0P3XUY,"[0.7469, 0.0, 0.1531]","[5, 5, 3]","[[say, expect], [ok, ship, australia], [perfect, kit, everything, need, repair, iphone, put, labor, price, know, repair, job, perform]]","[[say expect, 0.7469, 5], [ok ship australia, 0.0, 5], [perfect kit everything need repair iphone put labor price know repair job perform, 0.1531, 3]]"
B00A74HIKY,[0.0],[4],"[[work, expect, bought]]","[[work expect bought, 0.0, 4]]"
B00AIQHQZS,"[-0.0819, -0.0258, 0.6908]","[1, 1, 5]","[[price, advertise, nice, run, white, wire, car, black, interior, branding], [message, receive, try, plug, product, work, fine, month, stop, apple, update], [buy, oct, use, iphone, lightning, cable, work, phone, upgrade, o, io, v, get, error, cable, accessory, certify, work, iphone, fact, charge, phone, charger, support, cable, one, sell, amazon, basic, line, cable, include, unit, nothing, purchase, worth]]","[[price advertise nice run white wire car black interior branding, -0.0819, 1], [message receive try plug product work fine month stop apple update, -0.0258, 1], [buy oct use iphone lightning cable work phone upgrade o io v get error cable accessory certify work iphone fact charge phone charger support cable one sell amazon basic line cable include unit nothing purchase worth, 0.6908, 5]]"
B00AT6I3FY,[0.9148],[5],"[[price, product, cute]]","[[price product cute, 0.9148, 5]]"
