1059844575,"[0.6249, 0.6249]","[5, 5]","[[get, time], [work, great, advertise]]","[[get time, 0.6249, 5], [work great advertise, 0.6249, 5]]"
B00004U8K1,"[0.7783, 0.0, -0.3818]","[5, 4, 4]","[[footprint, super, easy, use, use, phone, headset, combo, phone, serve, attach, headset, product, dont, need, office, phone], [work, youd, expect], [earpiece, bit, person]]","[[footprint super easy use use phone headset combo phone serve attach headset product dont need office phone, 0.7783, 5], [work youd expect, 0.0, 4], [earpiece bit person, -0.3818, 4]]"
B000ANJVKW,[0.6422],[4],"[[use, work, headset, ip, phone, audio, quality, good, thing, didnt, ear, pad, soft, foam, cover, pad, earpiece, price]]","[[use work headset ip phone audio quality good thing didnt ear pad soft foam cover pad earpiece price, 0.6422, 4]]"
B000WLWBI6,[0.9313],[5],"[[case, fit, number, older, ipod, model, value, money, armband, bit]]","[[case fit number older ipod model value money armband bit, 0.9313, 5]]"
B001EAWNVY,"[0.4404, 0.8555]","[5, 4]","[[everything, fine, nice, expect, delivery, service]]","[[everything fine nice expect delivery service, 0.4404, 5], [, 0.8555, 4]]"
B001R5IYR8,[0.6249],[5],"[[everything, say, antenna]]","[[everything say antenna, 0.6249, 5]]"
B002G18PE4,[0.7346],[5],"[[work, great, boxbr, loop, case, clip, slip]]","[[work great boxbr loop case clip slip, 0.7346, 5]]"
B002M4NMWU,[0.5757],[4],"[[charger, overnight, charge, super, fast, charger, well, battery, life]]","[[charger overnight charge super fast charger well battery life, 0.5757, 4]]"
B0032GVCBA,"[0.0, -0.3875, 0.0]","[5, 3, 1]","[[tick, work, buy], [charge, sony, controller]]","[[tick work buy, 0.0, 5], [charge sony controller, -0.3875, 3], [, 0.0, 1]]"
B004CLYIZG,[0.3612],[5],"[[work, buy, againhttpswwwamazoncomgpproductbclyizgrefcmcrrypprdttlsol]]","[[work buy againhttpswwwamazoncomgpproductbclyizgrefcmcrrypprdttlsol, 0.3612, 5]]"
B004GVIZC4,[-0.2057],[2],"[[doesnt, charge]]","[[doesnt charge, -0.2057, 2]]"
B004IMHNWE,[0.8481],[5],"[[product, great, customer, service]]","[[product great customer service, 0.8481, 5]]"
B004S22KFE,[0.9449],[1],"[[detector, doesnt, go, think, come, contact, patrol, freeway, airport, day, detector, doesnt, go, radar, seem, recognize, regardless, run, radar, gun, today, opposite, side, freeway, detector, alert, seems, trigger, alert, friend, year, seem, work, better, reference, detector, mount, level, point, windshield, albeit, limit, experience, radar, detector, need, confidence, detector, dont, model]]","[[detector doesnt go think come contact patrol freeway airport day detector doesnt go radar seem recognize regardless run radar gun today opposite side freeway detector alert seems trigger alert friend year seem work better reference detector mount level point windshield albeit limit experience radar detector need confidence detector dont model, 0.9449, 1]]"
B004Y1NH4C,[0.6369],[5],[[expect]],"[[expect, 0.6369, 5]]"
B005EM8IDU,[0.2732],[4],"[[case, outlast, phone, didnt, expect, purchase, see, phone, drop, throw, kick, know, hold]]","[[case outlast phone didnt expect purchase see phone drop throw kick know hold, 0.2732, 4]]"
B005HQ4R56,[-0.2675],[4],"[[forget, slipping, insulation, sheaf, strike, quality, product, insulation, crimp, connection, solid]]","[[forget slipping insulation sheaf strike quality product insulation crimp connection solid, -0.2675, 4]]"
B005KKQE8C,"[0.5267, 0.0, -0.3628]","[5, 3, 1]","[[work, lg], [wont, stay, charge, month, buy, time, poor, quality], [work, finebr, take, longer, likedbr, get, do, br, brian]]","[[work lg, 0.5267, 5], [wont stay charge month buy time poor quality, 0.0, 3], [work finebr take longer likedbr get do br brian, -0.3628, 1]]"
B005SLFO7U,[-0.275],[4],"[[texting, annoy, phone, need, kill, smart, phone, find, pay, data, use, feature, need]]","[[texting annoy phone need kill smart phone find pay data use feature need, -0.275, 4]]"
B005SN3I58,"[0.431, 0.5719]","[5, 5]","[[excellent, product, seller], [get, job, do, describe, buy, brand, name, detector, hook, go]]","[[excellent product seller, 0.431, 5], [get job do describe buy brand name detector hook go, 0.5719, 5]]"
B0065GIX4I,[-0.6124],[1],"[[color, mismatchbr, texture, matchbr, waste, product]]","[[color mismatchbr texture matchbr waste product, -0.6124, 1]]"
B006CU4PTO,[0.7395],[5],[[great]],"[[great, 0.7395, 5]]"
B006IX7QS2,[-0.4215],[1],"[[buy, broke, week, use]]","[[buy broke week use, -0.4215, 1]]"
B006R79Y66,[0.4215],[5],"[[nice, screen, protector]]","[[nice screen protector, 0.4215, 5]]"
B0077IA57Q,[0.7645],[5],"[[amp, work, amp, use, diy, speaker, box, speaker, sub, project, work]]","[[amp work amp use diy speaker box speaker sub project work, 0.7645, 5]]"
B007R8ATQI,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B0089VO7QU,[0.0],[4],"[[item, describe, deliver]]","[[item describe deliver, 0.0, 4]]"
B008DVUZN0,[0.7406],[1],"[[flip, feature, bluetooth, doesnt, work, dont, waste, money, mention, zero, peripheral, wear, cause, car, accident, couldnt, see, side, company, lucky, im, sue]]","[[flip feature bluetooth doesnt work dont waste money mention zero peripheral wear cause car accident couldnt see side company lucky im sue, 0.7406, 1]]"
B008O5BI6I,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
