B000KIV23Q,[0.6511],[5],"[[work, connecting, subwoofer, hook, system, wire, expose]]","[[work connecting subwoofer hook system wire expose, 0.6511, 5]]"
B0013CD47U,[0.9811],[4],"[[speaker, one, car, know, buy, want, plain, mids, go, door, high, mount, bit, metal, strap, support, corner, fasten, corner, leave, side, fasten, speaker, cheap, one, sound, buy, heck, think, buying, set, truck, blown, magnets, speaker, fyi, fit]]","[[speaker one car know buy want plain mids go door high mount bit metal strap support corner fasten corner leave side fasten speaker cheap one sound buy heck think buying set truck blown magnets speaker fyi fit, 0.9811, 4]]"
B001AV5ZHG,[0.6249],[5],"[[let, ajuste, bass, awesome]]","[[let ajuste bass awesome, 0.6249, 5]]"
B001NK55HY,[0.7351],[5],"[[perfect, conditionbr, thank]]","[[perfect conditionbr thank, 0.7351, 5]]"
B002Z6BGOQ,[-0.34],[1],"[[replacement, current, remote, alarm, setdoor, opener, return]]","[[replacement current remote alarm setdoor opener return, -0.34, 1]]"
B003D3NEK4,[0.8074],[4],"[[fit, happy]]","[[fit happy, 0.8074, 4]]"
B003JTHO58,[-0.4215],[2],"[[fell, apart, part, waste, time]]","[[fell apart part waste time, -0.4215, 2]]"
B003VS8LQ8,"[0.6808, 0.5719, 0.5719]","[5, 5, 5]","[[excellent, option], [perfect, describe], [buy, bag, im, use, pro, gear, crushing, headset, bag, make, perfect, carrying, headset, clip, backpack, carabiner, fit, need]]","[[excellent option, 0.6808, 5], [perfect describe, 0.5719, 5], [buy bag im use pro gear crushing headset bag make perfect carrying headset clip backpack carabiner fit need, 0.5719, 5]]"
B003YJ85S8,[0.5719],[5],"[[item, describe, perfect]]","[[item describe perfect, 0.5719, 5]]"
B004PVPUGE,"[0.0, 0.6249, -0.4449]","[5, 5, 3]","[[fit, great], [didnt, fit, well], [work, expect]]","[[fit great, 0.0, 5], [didnt fit well, 0.6249, 5], [work expect, -0.4449, 3]]"
B005CG2AX2,[0.7964],[5],"[[wow, ive, dec, go, serf, purpose]]","[[wow ive dec go serf purpose, 0.7964, 5]]"
B005EJFXE0,[0.872],[5],"[[fit, good, look, protect, phone, access, button]]","[[fit good look protect phone access button, 0.872, 5]]"
B006EC5X6O,"[0.6369, 0.0, -0.6602]","[5, 5, 3]","[[screen, saver, samsung, ii, phone, price, find], [fit, great]]","[[screen saver samsung ii phone price find, 0.6369, 5], [fit great, 0.0, 5], [, -0.6602, 3]]"
B006IX7BBO,[0.8984],[5],"[[product, come, time, week, case, good, quality, cheap, love, come, get, gift]]","[[product come time week case good quality cheap love come get gift, 0.8984, 5]]"
B006OSRZA0,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B007038MKA,[0.4651],[1],"[[need, put, screen, saver, use, soapy, water, sqeegee, excess, water, underneath, plastic, make, thats, direction, supply, manufacturer, instrument, im, suppose, put, water, card, unit, cost, id, try, replacement, screen, saver, make, put, dry, try, youre, skilled, live, youre, better, luck, dont, recommend, spend, money, know, screen, saver, list, unit, screen, clean, stylus, seem, option]]","[[need put screen saver use soapy water sqeegee excess water underneath plastic make thats direction supply manufacturer instrument im suppose put water card unit cost id try replacement screen saver make put dry try youre skilled live youre better luck dont recommend spend money know screen saver list unit screen clean stylus seem option, 0.4651, 1]]"
B007B5ZL6K,[0.0],[5],"[[purchaseseverything, advertise]]","[[purchaseseverything advertise, 0.0, 5]]"
B007L97AN8,[0.6369],[5],[[work]],"[[work, 0.6369, 5]]"
B008ANVZEO,[-0.6908],[2],"[[charger, brings, business]]","[[charger brings business, -0.6908, 2]]"
